Galaxy,RA2000 (deg),DEC2000 (deg),Axis ratio (b/a),NED Inc (deg),NED PA (deg),Alt Inc (deg),Alt PA (deg),Alt Inc/PA Ref,Adopted Inc (deg),Adopted PA (deg),Inc from velfit-circ,Error on inc,PA from velfit-circ,Error on PA,Vsys from velfit,Error on Vsys,"D_25 ("")",K_20 (2MASS),NED median m-M,NED Std. Dev m-M,Abs K Magnitude,Distance (Mpc),General description from NED,Description of CO image,# Comments,WWT Tour?,Spitzer 3.6um,"CO bmaj ("")","CO bmin ("")",CO bpa (deg),CO image nx,CO image ny,"CO pixsca ("")", CO res (kpc),"HI bmaj ("")","HI bmin ("")",HI bpa (deg),HI image nx,HI image ny,"HI pixsca ("")", HI res (kpc),"HI imsz ("")",Abs B Magnitude,App B Magnitude,Galatic B-Band Extinction,App B Magnitude Err,Abs B Magnitude Err,Abs B Magnitude (with internal extinction correction),Log(O/H)+12 KK04,Log(O/H)+12 PT05,Log(O/H)+12C KK04,Log(O/H)+12G KK04,Log(O/H)+12C PT05,Log(O/H)+12G PT05,Ref(Z),Log(O/H)+12,Log(O/H)+12 Error,Type
 NGC3486,165.09945,28.97514,0.81,36,83,N/A,N/A,,36,263,,,,,,,424.8,8.340,30.57,0.58,-22.23,13.00,"Multiple flocculent arms emanate from a bright inner ring, with a gap around the nucleus.",Clumpy CO emission appears to be mainly found in the ring.,,Y,S4G,3.88,3.45,114,143,140,1,0.231,59.23,49.83,79,81,81,20,3.42,1620,-19.60,11.05,0.078,0.1,0.59,-19.85,9.01,8.38,0.00,0.00,0.00,0.00,LZ-M2010,8.69,0.32,Sc
 NGC3593,168.65417,12.81767,0.41,67,90,N/A,N/A,,67,90,,,,,,,314.9,7.561,28.71,0.00,-21.15,5.52,"Highly inclined, early-type galaxy with a high rate of star formation for its class.","Extensive CO emission is seen, including a central peak and two offset peaks on either side (possibly part of a ring).",,,S4G,4.21,4.09,19,136,132,1,0.111,15.43,14.61,-14,126,126,4,0.40,504,-16.92,11.86,0.07,0.08,0.08,-17,8.55,8.02,0.00,0.00,0.00,0.00,LZ-M2010,8.29,0.26,S0-a
 NGC3949,178.42384,47.85871,0.62,52,125,55,298,2001A&A...370..765V,55,298,,,,,,,173,8.720,31.40,0.23,-22.68,19.05,"Irregular, flocculent spiral structure in disk, with many filaments and knots of star formation.","Remarkably asymmetric CO distribution, with most molecular gas being located in the southeast.",,,S4G,2.77,1.61,49,128,117,1,0.195,,,,,,,,0,-19.94,11.54,0.078,0.15,0.27,-20.5,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,Sbc
 NGC4151,182.63574,39.40573,0.81,36,130,21,22,1999MNRAS.304..481M,21,22,,,,,,,378.6,7.503,29.75,1.39,-22.25,8.91,"Barred galaxy with large, bright, circular bulge and relatively little star formation, mostly concentrated near nucleus and at bar ends.","Again, an off-center CO clump is seen, this time to the south of the nucleus.",,,S4G,2.77,2.43,101,141,137,1,0.112,9.58,8.81,66,301,301,4,0.40,1204,-18.35,11.5,0.098,0.2,1.40,-18.66,8.79,8.21,0.00,0.00,0.00,0.00,LZ-M2010,8.50,0.29,SABa
 NGC4254,184.70668,14.41651,0.95,18,24,31,69,2008MNRAS.385..553D,31,69,44.46,0.63,66.87,0.16,2383.61,0.22,322.2,7.111,30.97,0.22,-23.86,15.63,"Large spiral in the Virgo cluster with prominent, asymmetric spiral arms and a small circular bulge.","Magnificent spiral structure is seen in CO, with some emission between the arms as well.",,Y,S4G,2.57,2.35,79,149,143,1,0.186,10.58,9.56,95,451,451,2,0.76,902,-20.67,10.44,0.141,0.08,0.23,-20.79,9.13,8.45,9.26,-0.42,8.56,-0.37,M2010,8.79,0.34,Sc
 NGC4273,184.98365,5.34333,0.49,61,9,N/A,N/A,,61,189,50.01,2.77,195.22,0.75,2371.4,1.33,140.7,9.223,32.73,0.22,-23.51,35.16,Another Virgo galaxy with distorted spiral structure.,CO emission traces the inner spiral arms.,No 2MASS isophotal exists,,S4G,2.68,2.48,-45,137,134,1,0.439,,,,,,,,0,-20.41,12.39,0.068,0.08,0.23,-20.59,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,Sc
 NGC4536,188.61271,2.18814,0.52,59,95,68,301,2006MNRAS.366..812C,68,301,45.06,2.12,117.81,0.52,1800.41,1.52,455.1,7.698,30.83,0.36,-23.13,14.66,Large Virgo spiral with two principal spiral arms showing multiple HII regions.,CO emission is strongly concentrated near the center.,,Y,S4G,3.32,3.07,-69,136,133,1,0.227,10.07,9.44,82,201,201,4,0.69,804,-19.74,11.16,0.066,0.08,0.37,-20.51,9.00,8.21,0.00,0.00,0.00,0.00,M2010,8.61,0.40,SABb
NGC4605,189.99742,61.60919,0.40,67,120,N/A,N/A,,67,300,,,,,,,345.3,7.921,28.69,0.40,-20.77,5.47,"Dwarf spiral galaxy with similar size and luminosity to Large Magellanic Cloud.  Highly inclined, with strong dust lanes.",CO is confined to a ringlike structure that is brightest at the ends as a result of our viewing angle.,,Y,S4G,3.99,3.61,18,99,99,1,0.101,5.53,4.88,73,251,251,2,0.14,502,-17.85,10.89,0.052,0.09,0.41,-18.63,8.71,8.15,0.00,0.00,0.00,0.00,LZ-M2010,8.43,0.28,SBc
 NGC4654,190.98575,13.12668,0.45,64,120,62,125,2006MNRAS.366..812C,62,125,62.31,1.3,133.67,0.46,1062.92,0.82,293.9,7.932,31.05,0.26,-23.12,16.22,"This Virgo cluster spiral has a short, thin bar from which two prominent spiral arms emanate, and a lopsided stellar distribution.","The bar shows up strongly in the CO image, along with the northern arm; CO in southern region is more patchy.",,Y,S4G,2.63,2.50,106,137,132,1,0.202,16.92,16.37,55,301,301,4,1.31,1204,-20.04,11.1,0.094,0.1,0.28,-20.63,8.84,8.84,0.00,-0.77,0.00,-0.77,Pilyugin2004;Dors2006,8.84,0.27,SABcd
 NGC5371,208.91643,40.46176,0.70,46,21,48,11,2009ApJ...704.1657F,48,11,,,,,,,261.9,7.776,32.73,0.53,-24.95,35.16,"Nearly face-on galaxy with strong, thin spiral arms containing many HII regions.",The thin arms show up strongly in CO emission.,,Y,S4G,3.31,2.60,94,141,137,1,0.500,85.09,45.56,82,41,41,20,10.61,820,-21.45,11.32,0.035,0.14,0.55,-21.85,9.33,8.62,0.00,0.00,0.00,0.00,LZ-M2010,8.98,0.35,Sbc
 NGC5713,220.04794,-0.28897,0.99,8,160,33,203,2006MNRAS.367..469D,33,203,44.28,3.16,19.12,0.86,1903.55,1.19,165.3,8.509,31.65,0.51,-23.14,21.38,Small angular size galaxy with peculiar morphology: three spiral arms all emanate from south side of bar.,"CO morphology is also asymmetric, with most emission coming from the bar and regions south and east from the center.",,Y,S4G,4.36,4.07,35,137,133,1,0.437,16.87,16.16,-31,201,201,4,1.71,804,-19.95,11.84,0.142,0.15,0.53,-20.47,9.03,8.24,0.00,0.00,0.00,0.00,M2010,8.64,0.40,SABb
NGC6503,267.36013,70.14437,0.32,72,121,72,299,2008MNRAS.388..500E,72,299,41.26,5.76,102.95,0.94,40.11,0.49,424.8,7.382,28.66,0.16,-21.28,5.40,,,,,S4G,3.33,2.71,89,161,154,0.5,0.079,,,,,,,,0,-17.87,10.91,0.116,0.09,0.18,-18.77,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,SAcd
 NGC6951,309.30871,66.10564,0.64,51,80,46,138,2009ApJ...692.1623H,46,138,18.19,1.22,146.52,0.27,1440.07,0.64,233.4,7.358,31.86,0.23,-24.50,23.55,"Face-on, strongly barred galaxy with a nuclear ring of enhanced star formation.","The bar is mostly devoid of molecular gas, but strong CO emission comes from two ""hot spots"" where gas in the bar enters the ring.",,,Rieke 22110208,4.95,4.47,66,256,256,1,0.537,11.11,6.51,49,201,201,4,0.97,804,-21.57,11.64,1.351,0.15,0.27,-21.82,9.35,8.64,0.00,0.00,0.00,0.00,LZ-M2010,8.99,0.36,SABb
